touchpoint,group,N,interaction,adoption
activity,control,184,39,15
activity,reminders,184,74,24
activity,salience,184,63,33
activity,visibility,184,53,31
login,choice_default,184,184,96
login,control,184,64,26
login,salience,184,135,72
login,visibility,184,92,51
recovery,choice_default,184,184,100
recovery,control,184,99,39
recovery,effort,184,132,49
recovery,visibility,184,174,97
registration,choice_default,184,184,102
registration,control,184,85,34
registration,salience,184,166,85
registration,visibility,184,109,61
settings,control,184,50,21
settings,salience,184,106,51
settings,social_ref,184,94,36
settings,visibility,184,70,40
