nudge,touchpoint,Female,Male,Gender - Other,Gender - No answer,Age - 18-19,Age - 20-29,Age - 30-39,Age - 40-49,Age - 50-59,Age - 60-69,Age - 70-79,Age - 80+,Education - Still in school,Education - Middle school,Education - High school,Education - Higher education,Education - Other,Prior exp - Yes,Prior exp - No
Control,T1,94,90,0,0,7,24,44,41,39,24,5,0,4,81,56,24,19,106,78
Salience,T1,102,82,0,0,3,26,36,42,37,28,11,1,3,73,53,32,23,114,70
Visibility,T1,95,89,0,0,3,28,40,38,39,26,10,0,4,85,48,28,19,104,80
Default,T1,90,94,0,0,4,32,39,40,38,23,8,0,4,71,57,29,23,103,81
Control,T2,93,91,0,0,4,28,40,39,32,31,10,0,4,76,61,26,17,109,75
Salience,T2,92,92,0,0,4,26,46,36,40,22,8,2,5,82,49,28,20,113,71
Visibility,T2,95,89,0,0,2,29,34,40,36,31,12,0,2,70,61,28,23,94,90
Default,T2,100,84,0,0,4,34,47,38,30,22,9,0,4,67,59,33,21,112,72
Control,T3,92,92,0,0,7,34,40,35,33,25,10,0,7,65,70,23,19,113,71
Visibility,T3,92,92,0,0,0,35,38,36,35,31,9,0,0,73,67,28,16,99,85
Default,T3,94,90,0,0,4,25,42,34,36,26,16,1,4,84,48,30,18,103,81
Option-related Effort,T3,97,87,0,0,3,25,44,39,41,23,9,0,2,82,49,30,21,111,73
Control,T4,98,86,0,0,5,34,42,38,29,30,6,0,4,84,50,23,23,105,79
Salience,T4,96,88,0,0,3,34,33,37,39,28,9,1,2,75,58,31,18,103,81
Visibility,T4,94,90,0,0,2,27,37,45,40,25,8,0,0,76,60,26,22,110,74
Social Reference,T4,91,93,0,0,4,28,41,46,29,26,10,0,4,63,68,32,17,114,70
Control,T5,94,90,0,0,4,32,41,35,39,24,9,0,5,66,67,23,23,96,88
Salience,T5,85,98,1,0,8,25,37,45,40,25,4,0,4,64,62,32,22,94,90
Visibility,T5,90,94,0,0,4,31,33,44,35,29,8,0,5,76,59,29,15,107,77
Reminders,T5,96,88,0,0,1,25,35,41,42,28,12,0,1,73,68,24,18,109,75
